You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/hashed_elgamal_generic.ec::Z3:2
source file: examples/hashed_elgamal_generic.ec

GOAL:
(assert (not (forall ((xL DiffieHellman_GP_ZModE_exp)) (=> (Distr_support1 (Distr_MUniform_duniform1 (List_map1 DiffieHellman_GP_ZModE_inzmod_ho (List_Range_range 0 (List_size1 DiffieHellman_G_elems)))) xL) (forall ((yL DiffieHellman_GP_ZModE_exp)) (=> (Distr_support1 (Distr_MUniform_duniform1 (List_map1 DiffieHellman_GP_ZModE_inzmod_ho (List_Range_range 0 (List_size1 DiffieHellman_G_elems)))) yL) (and (<= 0 qH) (=> (<= 0 qH) (forall ((qs_R (FSet_fset DiffieHellman_G_group))) (=> (<= (FSet_card1 qs_R) qH) (forall ((hL Bits_bits)) (=> (Distr_support2 (Distr_MUniform_duniform2 (List_map2 Bits_mkbits_ho (Bits_Enum_bitsn k))) hL) (= (DiffieHellman_GP_cf (DiffieHellman_GP_cf DiffieHellman_G_g xL) yL) (DiffieHellman_GP_cf DiffieHellman_G_g (DiffieHellman_GP_ZModE_as xL yL)))))))))))))))

CANDIDATE LEMMAS (64 names, pre-ranked by relevance):
- Distr_in_dmap1E_can
- Distr_supp_dlet
- Distr_supp_dmap
- DiffieHellman_GP_ZModE_DZmodP_supp_dunifin
- Distr_dmap_bij
- Distr_dmap_uni_in_inj
- Distr_supp_dprod
- Distr_mu_dlet_le
- Distr_mu_le
- Distr_supp_djoin_cons
- Distr_finite_dlet
- Distr_in_eq_dlet
- Distr_eq_dmap_in
- Distr_mu_eq_support
- Distr_DConditional_eq_dcond
- Distr_exp_cond_dlet_ilvt
- Distr_in_ler_exp_cond
- DList_dlist_fu
- Distr_MUniform_supp_duniform
- Distr_dmap_fu_in
- Distr_dmap_supp
- Distr_mu0_false
- Distr_MUniform_duniform_fu
- Distr_djoin_fu
- Distr_dmap1E_can
- Distr_in_ler_exp
- Distr_support_eq0
- Distr_eq_exp
- Distr_supp_drestrict
- Distr_DConditional_dcond_supp
- Distr_MUniform_duniform1E_uniq
- Distr_distr_0Vmem
- Distr_dmap_id_eq_in
- Distr_eq0_mu
- Distr_exp_cond_eq0
- Distr_is_uniform'def
- Distr_supportPn
- DiffieHellman_GP_ZModE_BigZMod_BMul_big_ind
- Distr_exp_cond_ge0
- Distr_exp_eq0
- Distr_mu_in_weight
- Distr_neq0_mu
- Distr_supportP
- Distr_exp_ge0
- DiffieHellman_GP_ZModE_BigZMod_BMul_big_endo
- DiffieHellman_GP_ZModE_BigZMod_BMul_big_ind2
- DiffieHellman_GP_ZModE_BigZMod_BMul_big_rec2
- Distr_MUniform_eq_duniformP
- Distr_MUniform_finite_duniform
- Distr_mu1_uni
- Distr_witness_support
- IntMin_argmax_le
- DiffieHellman_GP_ZModE_BigZMod_BMul_big_comp
- Distr_MRat_supp_drat
- Distr_MUniform_duniform'def
- Distr_MUniform_duniform1E
- Distr_support_ho_spec
- IntMin_argmin_le
- DiffieHellman_GP_ZModE_BigZMod_BAdd_divr_suml
- DiffieHellman_GP_ZModE_BigZMod_BAdd_mulr_sumr
- DiffieHellman_GP_ZModE_BigZMod_BMul_big_const
- DiffieHellman_GP_ZModE_BigZMod_BMul_big_rec
- DiffieHellman_GP_ZModE_DZmodP_dunifin1E
- DiffieHellman_GP_ZModE_DZmodP_dzmodE

Answer with up to 8 candidate names, ranked most-necessary first, copied
EXACTLY from the list above.
