You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/MEE-CBC/RCPA_CMA.ec::Z3:3
source file: examples/MEE-CBC/RCPA_CMA.ec

GOAL:
(assert (not (forall ((et1 (tuple2 (tuple8 MtE_ptxt MtE_ctxt (tuple2 MtE_eK MtE_mK) MtE_ptxt MtE_eK MtE_mK MtE_ctxt MtE_tag) memory)) (et2 (tuple2 (tuple5 MtE_ptxt MtE_ctxt MtE_tag MtE_ptxt MtE_tag) memory))) (=> (and (not (= (MtE_MACa_WUF_CMA_WUF_Wrap_slwin (proj2_1 et2)) true)) (and (= (proj8_0 (proj2_0 et1)) (proj5_0 (proj2_0 et2))) (and (and (= (E2 (proj2_1 et1)) (E2 (proj2_1 et2))) (= (M2 (proj2_1 et1)) (M2 (proj2_1 et2)))) (and (= (MtE_Sec_PTXT_PTXT_Wrap_slk (proj2_1 et1)) (Tuple2 (MtE_RCPA_WUF_PTXT_CMAa_slek (proj2_1 et2)) (MtE_MACa_WUF_CMA_WUF_Wrap_slk (proj2_1 et2)))) (and (forall ((p MtE_ptxt)) (= (FSet_mem1 (MtE_Sec_PTXT_PTXT_Wrap_sls (proj2_1 et1)) p) (FSet_mem1 (MtE_MACa_WUF_CMA_WUF_Wrap_sls (proj2_1 et2)) p))) (=> (= (MtE_Sec_PTXT_PTXT_Wrap_slwin (proj2_1 et1)) true) (= (MtE_MACa_WUF_CMA_WUF_Wrap_slwin (proj2_1 et2)) true))))))) (and (and (and (= (proj2_1 (MtE_Sec_PTXT_PTXT_Wrap_slk (proj2_1 et1))) (MtE_MACa_WUF_CMA_WUF_Wrap_slk (proj2_1 et2))) (= (proj8_0 (proj2_0 et1)) (proj5_0 (proj2_0 et2)))) (= (M2 (proj2_1 et1)) (M2 (proj2_1 et2)))) (forall ((result_L MtE_tag) (result_R MtE_tag) (M_L M) (M_R M)) (=> (and (= result_L result_R) (= M_L M_R)) (and (and (and (= (proj2_0 (MtE_Sec_PTXT_PTXT_Wrap_slk (proj2_1 et1))) (MtE_RCPA_WUF_PTXT_CMAa_slek (proj2_1 et2))) (and (= (proj8_0 (proj2_0 et1)) (proj5_0 (proj2_0 et2))) (= result_L result_R))) (= (E2 (proj2_1 et1)) (E2 (proj2_1 et2)))) (forall ((result_L1 MtE_ctxt) (result_R1 MtE_ctxt) (E_L E) (E_R E)) (=> (and (= result_L1 result_R1) (= E_L E_R)) (=> (not (= (MtE_MACa_WUF_CMA_WUF_Wrap_slwin (proj2_1 et2)) true)) (and (= result_L1 result_R1) (and (and (= E_L E_R) (= M_L M_R)) (and (= (MtE_Sec_PTXT_PTXT_Wrap_slk (proj2_1 et1)) (Tuple2 (MtE_RCPA_WUF_PTXT_CMAa_slek (proj2_1 et2)) (MtE_MACa_WUF_CMA_WUF_Wrap_slk (proj2_1 et2)))) (and (forall ((p MtE_ptxt)) (= (FSet_mem1 (FSet_bqbrbq1 (MtE_Sec_PTXT_PTXT_Wrap_sls (proj2_1 et1)) (FSet_fset12 (proj8_0 (proj2_0 et1)))) p) (FSet_mem1 (FSet_bqbrbq1 (MtE_MACa_WUF_CMA_WUF_Wrap_sls (proj2_1 et2)) (FSet_fset12 (proj5_0 (proj2_0 et2)))) p))) (=> (= (MtE_Sec_PTXT_PTXT_Wrap_slwin (proj2_1 et1)) true) (= (MtE_MACa_WUF_CMA_WUF_Wrap_slwin (proj2_1 et2)) true)))))))))))))))))

CANDIDATE LEMMAS (846 names):
- Binomial_bin'def
- Binomial_bin1'def
- Binomial_bin1_ho_spec
- Binomial_binp
- Bool_BoolFin_count_mem
- Bool_BoolFin_enumP
- Bool_BoolFin_enum_spec
- Bool_BoolFin_enum_uniq
- Bool_BoolFin_is_finite_for
- Bool_BoolFin_perm_eq_enum_to_seq
- Bool_^^'def
- Bool_^^_ho_spec
- CoreInt_absz'def
- Core_<='def
- Discrete_enumerate'def
- Discrete_enumerate_pmap_range
- Distr_MRat_drat'def
- Distr_MRat_drat_sort
- Distr_MRat_eq_ratl'def
- Distr_MRat_mrat'def
- Distr_MRat_mrat_ho_sort
- Distr_MRat_mrat_ho_spec
- Distr_MRat_ratl_mem
- Distr_MRat_supp_drat
- Distr_MUniform_duniform'def
- Distr_MUniform_duniform_fu
- Distr_MUniform_duniform_ll
- Distr_MUniform_duniform_sort
- Distr_MUniform_eq_duniformP
- Distr_MUniform_supp_duniform
- Distr_MUnit_dunit'def
- Distr_MUnit_dunit_ho_sort
- Distr_MUnit_dunit_ho_spec
- Distr_MUnit_dunit_sort
- Distr_`*`'def
- Distr_`*`_sort
- Distr_djoin_axE
- Distr_djoin_cat
- Distr_djoin_cons
- Distr_djoin_cons1E
- Distr_djoin_cons1nilE
- Distr_djoin_fu
- Distr_djoin_ll
- Distr_djoin_nil
- Distr_djoin_nilE
- Distr_djoin_perm_s1s
- Distr_djoin_seq1
- Distr_djoin_uni
- Distr_dlet'def
- Distr_dlet_sort
- Distr_dmap'def
- Distr_dmap_duniform
- Distr_dmap_sort
- Distr_is_full'def
- Distr_is_lossless'def
- Distr_is_uniform'def
- Distr_mk_sort
- Distr_mlet'def
- Distr_mlet_ho_sort
- Distr_mlet_ho_spec
- Distr_mprod'def
- Distr_mprod_ho_sort
- Distr_mprod_ho_spec
- Distr_supp_djoin_cons
- Distr_support'def
- Distr_weight_djoin_cons
- FSet___proper'def
- FSet___subset'def
- FSet_`&`'def
- FSet_`&`_sort
- FSet_`__`'def
- FSet_`__`_sort
- FSet_`_`'def
- FSet_`_`_sort
- FSet_card'def
- FSet_cardE
- FSet_disjointP
- FSet_elemsK
- FSet_elems_eq_fset0
- FSet_elems_eq_fset1
- FSet_elems_fset0
- FSet_elems_fset1
- FSet_elems_sort
- FSet_fcard1
- FSet_fcardD1
- FSet_fcardI1
- FSet_fcardU1
- FSet_fcardUI
- FSet_fcard_eq1
- FSet_filter'def
- FSet_filter1
- FSet_filterE
- FSet_filterU
- FSet_filter_mem
- FSet_filter_memC
- FSet_filter_pred1
- FSet_filter_sort
- FSet_finite_mem
- FSet_fold'def
- FSet_fold1
- FSet_foldC
- FSet_foldE
- FSet_fold_sort
- FSet_fset0U
- FSet_fset1'def
- FSet_fset1D
- FSet_fset1I
- FSet_fset1_sort
- FSet_fsetDDl
- FSet_fsetDDr
- FSet_fsetDIr
- FSet_fsetDK
- FSet_fsetDUl
- FSet_fsetDUr
- FSet_fsetI1
- FSet_fsetID
- FSet_fsetIK
- FSet_fsetIUl
- FSet_fsetIUr
- FSet_fsetKI
- FSet_fsetKU
- FSet_fsetP
- FSet_fsetU0
- FSet_fsetUA
- FSet_fsetUAC
- FSet_fsetUACA
- FSet_fsetUC
- FSet_fsetUCA
- FSet_fsetUIl
