You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/br93.ec::Z3:1
source file: examples/br93.ec

GOAL:
(assert (not (and (=> (not (FMap_dom1 (BR93_H_Lazy_LRO_slm (proj2_1 et2)) (proj4_0 (proj2_0 et2)))) (forall ((x11 BR93_rand)) (and (=> (or (= x11 (proj4_0 (proj2_0 et2))) (List_mem1 (BR93_Log_slqs (proj2_1 et2)) x11)) (FMap_dom1 (FMap___lb_lsmn_rb1 (BR93_H_Lazy_LRO_slm (proj2_1 et2)) (proj4_0 (proj2_0 et2)) y) x11)) (=> (FMap_dom1 (FMap___lb_lsmn_rb1 (BR93_H_Lazy_LRO_slm (proj2_1 et2)) (proj4_0 (proj2_0 et2)) y) x11) (or (= x11 (proj4_0 (proj2_0 et2))) (List_mem1 (BR93_Log_slqs (proj2_1 et2)) x11)))))) (=> (FMap_dom1 (BR93_H_Lazy_LRO_slm (proj2_1 et2)) (proj4_0 (proj2_0 et2))) (forall ((x11 BR93_rand)) (and (=> (or (= x11 (proj4_0 (proj2_0 et2))) (List_mem1 (BR93_Log_slqs (proj2_1 et2)) x11)) (FMap_dom1 (BR93_H_Lazy_LRO_slm (proj2_1 et2)) x11)) (=> (FMap_dom1 (BR93_H_Lazy_LRO_slm (proj2_1 et2)) x11) (or (= x11 (proj4_0 (proj2_0 et2))) (List_mem1 (BR93_Log_slqs (proj2_1 et2)) x11)))))))))

CANDIDATE LEMMAS (64 names, pre-ranked by relevance):
- FMap_get_set_id
- FMap_set_get_eq
- FMap_eq_except_set_getlr
- FMap_mem_set
- FMap_set_set_neqE
- FMap_eq_except_setlr
- FMap_get_set_eqE
- FMap_set_setE
- FMap_set_set_eqE
- FMap_set_set_sameE
- FMap_eq_except_set
- FMap_get_set_neqE
- FMap_get_set_sameE
- FMap_eq_except_set_same
- FMap_fdom_set
- FMap_get_setE
- FMap_map_set
- FMap___[_<-_]'def
- FMap_domNE
- FMap_eq_except_setr
- FMap_restr_set_neq
- FMap_set_get
- FMap_eq_except_set_eq
- FMap_eq_except_setl
- FMap_fmapP
- FMap_rem_set
- FMap_rng_set
- FMap_rng_set_notin
- FMap_domE
- FMap_eq_exceptSm
- FMap_eq_except_set_neq
- FMap_eq_exceptmS
- FMap_restr_set_eq
- FMap_rng'def
- FMap_get_none
- FMap_get_some
- FMap_set_union_map_r
- FMap_set_valE
- FMap_FindIn
- FMap_dom'def
- FMap_filter_set
- FMap_restr_set
- FMap___[_<-_]_sort
- FMap_eq_exceptP
- FMap_fdomP
- FMap_in_dom_with'def
- FMap_oget_map
- FMap_set_pair_map
- FMap_hasP
- FMap_joinE
- FMap_offsetmapT
- FMap_remE
- FMap_mapE
- FMap_find_not_none
- FMap_find_some
- FMap_get_filter
- FMap_offsetmapN
- FMap_uniq_find_eq_some
- FMap_FindNotIn
- FMap_fmapW
- FMap_bounded_set
- FMap_filterE
- FMap_find_some_unique
- List_mem'def

Answer with up to 8 candidate names, ranked most-necessary first, copied
EXACTLY from the list above.
