file,solver,ec_ok,seconds,n_dumps,tail
examples/ChaChaPoly/chacha_poly.ec,CVC5,0,13.671,22,-1.0B / [frag -1.0B]) [critical] [/tmp/eccore_cia3cg4f/chacha_poly.ec: line 338 (0-85)] cannot prove goal (strict) [-] [0339] 10.8% (-1.0B / [frag -1.0B]) [\] [0339] 10.8% (-1.0B / [frag -1.0B])
examples/ChaChaPoly/chacha_poly.ec,Z3,0,20.212,65,.0B]) [critical] [/tmp/eccore_z5zivro5/chacha_poly.ec: line 1463 (0) to line 1464 (98)] cannot prove goal (strict) [-] [1465] 48.4% (-1.0B / [frag -1.0B]) [\] [1465] 48.4% (-1.0B / [frag -1.0B])
examples/ChaChaPoly/ske.ec,CVC5,1,1.728,5,
examples/ChaChaPoly/ske.ec,Z3,1,1.842,5,
examples/Dice4_6.ec,CVC5,0,1.878,6,7% (-1.0B / [frag -1.0B]) [critical] [/tmp/eccore_zus_q4ma/Dice4_6.ec: line 69 (47-48)] cannot prove goal (strict) [\] [0070] 79.7% (-1.0B / [frag -1.0B]) [|] [0070] 79.7% (-1.0B / [frag -1.0B])
examples/Dice4_6.ec,Z3,1,2.044,7,
examples/FundamentalLemma.ec,CVC5,1,1.828,9,
examples/FundamentalLemma.ec,Z3,1,1.844,9,
examples/MEE-CBC/FunctionalSpec.ec,CVC5,0,13.108,1,B / [frag -1.0B]) [critical] [/tmp/eccore_0jvphv6n/FunctionalSpec.ec: line 301 (42-64)] cannot prove goal (strict) [/] [0301] 51.2% (-1.0B / [frag -1.0B]) [-] [0301] 51.2% (-1.0B / [frag -1.0B])
examples/MEE-CBC/FunctionalSpec.ec,Z3,1,7.976,21,
examples/MEE-CBC/RCPA_CMA.ec,CVC5,1,11.819,13,
examples/MEE-CBC/RCPA_CMA.ec,Z3,0,14.273,3,% (-1.0B / [frag -1.0B]) [critical] [/tmp/eccore_x1pvya2u/RCPA_CMA.ec: line 259 (0-23)] cannot prove goal (strict) [-] [0260] 39.0% (-1.0B / [frag -1.0B]) [\] [0260] 39.0% (-1.0B / [frag -1.0B])
examples/PIR.ec,CVC5,1,9.536,71,
examples/PIR.ec,Z3,0,12.113,5,] 14.3% (-1.0B / [frag -1.0B]) [critical] [/tmp/eccore_8oct5tlr/PIR.ec: line 81 (0-52)] cannot prove goal (strict) [\] [0082] 14.3% (-1.0B / [frag -1.0B]) [|] [0082] 14.3% (-1.0B / [frag -1.0B])
examples/PRG.ec,CVC5,1,4.638,30,
examples/PRG.ec,Z3,1,4.553,30,
examples/Pedersen.ec,CVC5,1,1.777,0,
examples/Pedersen.ec,Z3,1,1.854,0,
examples/RWhileSampling.ec,CVC5,1,1.632,2,
examples/RWhileSampling.ec,Z3,1,1.626,2,
examples/SchnorrPK.ec,CVC5,1,1.796,0,
examples/SchnorrPK.ec,Z3,1,1.826,0,
examples/UC/MapAux.ec,CVC5,1,0.742,0,
examples/UC/MapAux.ec,Z3,1,0.742,0,
examples/UC/RndO.ec,CVC5,1,3.284,0,
examples/UC/RndO.ec,Z3,1,3.455,0,
examples/UC/composition.ec,CVC5,1,5.418,57,
examples/UC/composition.ec,Z3,0,11.941,8,1.0B / [frag -1.0B]) [critical] [/tmp/eccore_37ddej34/composition.ec: line 500 (32-33)] cannot prove goal (strict) [\] [0501] 50.2% (-1.0B / [frag -1.0B]) [|] [0501] 50.2% (-1.0B / [frag -1.0B])
examples/UC/dh_enc.ec,CVC5,0,36.851,31,5% (-1.0B / [frag -1.0B]) [critical] [/tmp/eccore_tz7jqalr/dh_enc.ec: line 1526 (0-31)] cannot prove goal (strict) [/] [1527] 70.5% (-1.0B / [frag -1.0B]) [-] [1527] 70.5% (-1.0B / [frag -1.0B])
examples/UC/dh_enc.ec,Z3,0,43.831,51,0% (-1.0B / [frag -1.0B]) [critical] [/tmp/eccore_0bw4wu1p/dh_enc.ec: line 1667 (0-35)] cannot prove goal (strict) [/] [1668] 80.0% (-1.0B / [frag -1.0B]) [-] [1668] 80.0% (-1.0B / [frag -1.0B])
examples/Upto.ec,CVC5,1,2.395,9,
examples/Upto.ec,Z3,1,2.338,9,
examples/WF-examp.ec,CVC5,0,11.575,7,frag -1.0B]) [critical] [/tmp/eccore_ppt9vnz2/WF-examp.ec: line 64 (0) to line 65 (24)] cannot prove goal (strict) [|] [0066] 99.8% (-1.0B / [frag -1.0B]) [/] [0066] 99.8% (-1.0B / [frag -1.0B])
examples/WF-examp.ec,Z3,1,1.493,7,
examples/WhileSampling.ec,CVC5,1,1.405,1,
examples/WhileSampling.ec,Z3,1,1.442,1,
examples/async-while.ec,CVC5,1,1.526,9,
examples/async-while.ec,Z3,1,1.561,9,
examples/async_while.ec,CVC5,1,0.673,9,
examples/async_while.ec,Z3,1,0.766,9,
examples/br93.ec,CVC5,1,3.597,5,
examples/br93.ec,Z3,0,12.185,1,46.6% (-1.0B / [frag -1.0B]) [critical] [/tmp/eccore_8gme46zr/br93.ec: line 284 (0-47)] cannot prove goal (strict) [|] [0285] 46.6% (-1.0B / [frag -1.0B]) [/] [0285] 46.6% (-1.0B / [frag -1.0B])
examples/cramer-shoup/bad_abs.ec,CVC5,1,1.733,9,
examples/cramer-shoup/bad_abs.ec,Z3,1,1.736,9,
